Entity,Scenario,EntityScenario,Year,pcgdpgrowth
High income,1-year projections,High income IMF 1-year projections,2004,1.1173398083681008
Low income,1-year projections,Low income IMF 1-year projections,2004,3.630862955425762
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2004,1.7384197481989716
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2004,3.347750926990045
High income,1-year projections,High income IMF 1-year projections,2005,1.0570700011081513
Low income,1-year projections,Low income IMF 1-year projections,2005,2.5166568882143636
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2005,2.0803565961172055
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2005,3.8158607514606757
High income,1-year projections,High income IMF 1-year projections,2006,1.4976915798690982
Low income,1-year projections,Low income IMF 1-year projections,2006,2.544766773143081
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2006,3.0687823354492494
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2006,4.187171410678836
High income,1-year projections,High income IMF 1-year projections,2007,1.638783778215469
Low income,1-year projections,Low income IMF 1-year projections,2007,3.0963579483194614
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2007,3.4086179207530876
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2007,5.258064105727023
High income,1-year projections,High income IMF 1-year projections,2008,1.507430878697491
Low income,1-year projections,Low income IMF 1-year projections,2008,4.712363506182982
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2008,5.36449163367827
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2008,6.537714140986672
High income,1-year projections,High income IMF 1-year projections,2009,0.8745547236367557
High income,2-year projections,High income IMF 2-year projections,2010,2.0365531987863505
High income,3-year projections,High income IMF 3-year projections,2011,2.207401396059261
High income,4-year projections,High income IMF 4-year projections,2012,2.2762349938229676
High income,5-year projections,High income IMF 5-year projections,2013,2.1898947298209848
Low income,1-year projections,Low income IMF 1-year projections,2009,4.901916216042501
Low income,2-year projections,Low income IMF 2-year projections,2010,5.049897344081433
Low income,3-year projections,Low income IMF 3-year projections,2011,4.0495962443807265
Low income,4-year projections,Low income IMF 4-year projections,2012,3.7304481195969075
Low income,5-year projections,Low income IMF 5-year projections,2013,3.3679755055975313
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2009,4.984469201222552
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2010,5.0253400697252815
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2011,4.593459970942071
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2012,4.998076078261882
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2013,5.216950877420423
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2009,6.255940641192126
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2010,5.91818874829535
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2011,5.5969202968372045
Upper-middle income,4-year projections,Upper-middle income IMF 4-year projections,2012,5.829198673598945
Upper-middle income,5-year projections,Upper-middle income IMF 5-year projections,2013,6.0027513702504365
High income,1-year projections,High income IMF 1-year projections,2010,1.1372305602353805
High income,2-year projections,High income IMF 2-year projections,2011,1.2628887817037082
High income,3-year projections,High income IMF 3-year projections,2012,1.871923070684467
High income,4-year projections,High income IMF 4-year projections,2013,2.1710559592287737
High income,5-year projections,High income IMF 5-year projections,2014,1.9565378604685435
Low income,1-year projections,Low income IMF 1-year projections,2010,2.9987141762533476
Low income,2-year projections,Low income IMF 2-year projections,2011,2.3477348611319115
Low income,3-year projections,Low income IMF 3-year projections,2012,3.1406267335441385
Low income,4-year projections,Low income IMF 4-year projections,2013,3.364333538466102
Low income,5-year projections,Low income IMF 5-year projections,2014,3.4317299499978304
Lower-middle income,1-year projections,Lower-middle income IMF 1-year projections,2010,3.610921250746202
Lower-middle income,2-year projections,Lower-middle income IMF 2-year projections,2011,3.3992486194149407
Lower-middle income,3-year projections,Lower-middle income IMF 3-year projections,2012,4.2385694691068565
Lower-middle income,4-year projections,Lower-middle income IMF 4-year projections,2013,4.893033831143967
Lower-middle income,5-year projections,Lower-middle income IMF 5-year projections,2014,4.893344952463252
Upper-middle income,1-year projections,Upper-middle income IMF 1-year projections,2010,5.114935145783228
Upper-middle income,2-year projections,Upper-middle income IMF 2-year projections,2011,5.086738952598147
Upper-middle income,3-year projections,Upper-middle income IMF 3-year projections,2012,5.957276388028454
